"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","UPDATE_DATE","ACCT_007","ACCT_008","ACCT_009","ACCT_010","ACCT_011C","ACCT_013","ACCT_018","ACCT_019","ACCT_021B","ACCT_022B","ACCT_023B","ACCT_025A","ACCT_025B","ACCT_031A","ACCT_031B","ACCT_041B","ACCT_042","ACCT_058C","ACCT_065","ACCT_067","ACCT_068","ACCT_069","ACCT_080","ACCT_083","ACCT_084","ACCT_100","ACCT_300","ACCT_340","ACCT_380","ACCT_386","ACCT_387","ACCT_388","ACCT_392","ACCT_400","ACCT_457","ACCT_521","ACCT_522","ACCT_523","ACCT_524","ACCT_550","ACCT_551","ACCT_552","ACCT_562","ACCT_563","ACCT_602","ACCT_630","ACCT_652A","ACCT_652B1","ACCT_652B2","ACCT_655A","ACCT_655B1","ACCT_655B2","ACCT_656C","ACCT_657","ACCT_658","ACCT_662","ACCT_668","ACCT_671","ACCT_672A","ACCT_672B1","ACCT_672B2","ACCT_703","ACCT_704","ACCT_705","ACCT_706","ACCT_707","ACCT_708","ACCT_710","ACCT_712","ACCT_713","ACCT_714","ACCT_715","ACCT_716","ACCT_718","ACCT_719","ACCT_720","ACCT_721","ACCT_722","ACCT_723","ACCT_724","ACCT_730","ACCT_741A","ACCT_741B1","ACCT_741B2","ACCT_742A","ACCT_742B1","ACCT_742B2","ACCT_746A","ACCT_746B1","ACCT_746B2","ACCT_749","ACCT_750A","ACCT_750B1","ACCT_750B2","ACCT_751","ACCT_755","ACCT_760C","ACCT_761C","ACCT_771","ACCT_775","ACCT_794","ACCT_798","ACCT_799A","ACCT_799B1","ACCT_799B2","ACCT_825","ACCT_860C","ACCT_880","ACCT_902","ACCT_906A","ACCT_908A","ACCT_908C","ACCT_911","ACCT_931","ACCT_940","ACCT_959","ACCT_960","ACCT_968","ACCT_973","ACCT_975","ACCT_976","ACCT_991","Acct_965A","Acct_965B","Acct_965C","Acct_965D","ACCT_020A","ACCT_020B","ACCT_024A","ACCT_024B","ACCT_042A","ACCT_090A","ACCT_090B","ACCT_090C","ACCT_090D","ACCT_099A","ACCT_143A","ACCT_143B","ACCT_143C","ACCT_143D","ACCT_400A","ACCT_400B","ACCT_400C","ACCT_400D","ACCT_400F","ACCT_459A","ACCT_463A","ACCT_475A","ACCT_475B","ACCT_475C","ACCT_475D","ACCT_691B","ACCT_691C","ACCT_692","ACCT_692A","ACCT_704A","ACCT_704B","ACCT_704C","ACCT_704D","ACCT_704E","ACCT_705A","ACCT_705B","ACCT_708B","ACCT_720A","ACCT_720B","ACCT_720C","ACCT_720D","ACCT_720E","ACCT_721A","ACCT_721B","ACCT_724B","ACCT_733A","ACCT_745C1","ACCT_745C2","ACCT_796C1","ACCT_796C2","ACCT_797C1","ACCT_797C2","ACCT_799C1","ACCT_799C2","ACCT_965C1","ACCT_965C2","ACCT_088","ACCT_799A1","ACCT_672B","ACCT_672C1","ACCT_672C2","ACCT_672D","ACCT_744B","ACCT_744C1","ACCT_744C2","ACCT_744D","ACCT_652B","ACCT_652C1","ACCT_652C2","ACCT_652D","ACCT_766A","ACCT_766B","ACCT_766C1","ACCT_766C2","ACCT_766D","ACCT_766E","ACCT_798A1","ACCT_798A2","ACCT_798A3","ACCT_009A","ACCT_009B","ACCT_009C","ACCT_769A1","ACCT_769B1","ACCT_616","ACCT_616A","ACCT_704A1","ACCT_704C1","ACCT_980","ACCT_742C1","ACCT_742C2","ACCT_020J","ACCT_020K","ACCT_020L","ACCT_021J","ACCT_021K","ACCT_021L","ACCT_022J","ACCT_022K","ACCT_022L","ACCT_023J","ACCT_023K","ACCT_023L","ACCT_041J","ACCT_041K","ACCT_041L","Acct_1019","Acct_1019A","Acct_1019B","Acct_1019C","Acct_1019D","Acct_1019E","Acct_789A","Acct_789A1","Acct_789B","Acct_789B1"
1,12/31/2023 0:00:00,2,1/25/2024 10:11:28 PM,42831,8739,0,11048388,0,9751785,9751785,0,2130,331,0,787,9325595,524,4755796,6470,0,0,0,0,0,0,0,1285,2000,0,0,0,102991,0,0,0,0,0,0,0,925,724,724,32793,16013,0,0,0,0,140905,0,0,0,0,0,0,0,6743588,203071,0,0,430552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108220,0,0,0,0,4086,0,0,491736,0,281166,2375556,0,0,1089446,0,0,249,0,0,0,0,0,0,0,0,0,4348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2023 0:00:00,7,1/30/2024 10:15:36 PM,2954718,1495690,0,266912068,0,201429564,234166564,0,1175015,219402,33327,20373,195731235,5990,80346357,2075771,0,0,0,0,0,0,0,29026,61000,0,0,177868,1413252,0,0,0,0,0,32737,1081,1171,481,646,1616515,486697,0,0,0,0,212674,0,0,0,0,0,0,0,120674396,0,0,0,14380821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060044,0,0,0,0,5173411,7000000,32737000,43331637,5685877,21302335,27131425,3350280,0,22806309,0,0,3236,0,0,0,0,0,0,0,0,0,3785704,0,342345,0,0,0,0,0,0,0,0,0,0,768338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772893,67402,8843981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2023 0:00:00,11,1/26/2024 10:13:59 PM,5040331,503765,0,59579901,0,52344395,52344395,0,255972,36113,0,8568,27865142,4393,14464889,390366,0,0,0,0,0,0,0,9143,19143,0,0,37251,217192,0,0,0,0,0,0,1799,1515,850,1050,318825,133233,0,0,0,0,257747,0,0,0,0,0,0,0,24693490,0,0,0,4525287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555439,0,0,0,0,210374,2500000,0,14586292,931756,1785965,2766168,8803296,0,5919488,0,0,357,0,0,0,0,0,0,0,0,0,183442,0,26120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122931,48603,3451087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2023 0:00:00,12,1/29/2024 10:09:23 PM,12238301,671730,0,1021395443,0,798592230,885675439,0,1498067,661935,0,35594,912303603,14663,425800900,3392784,0,0,0,0,0,0,0,64614,849530,0,0,1508822,19483220,0,0,0,0,0,23,950,925,364,364,2058868,552794,0,0,0,0,219516,0,0,0,0,0,0,0,169573681,0,0,0,22151955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7623047,0,0,0,0,7702748,45000000,87083209,111950689,29847258,190496852,417346516,18192660,0,84110493,0,0,12005,0,0,0,0,0,0,0,0,0,14904973,0,59150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3554211,39783,5795116,0,0,0,0,0,25323070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12/31/2023 0:00:00,14,1/16/2024 10:06:02 PM,0,2184,0,9293306,0,8031106,8031106,0,0,5874,0,289,3957554,289,3957554,5874,0,0,0,0,0,0,0,929,1320,0,0,0,15088,0,0,0,0,0,0,1490,850,574,649,0,291,0,0,0,0,0,0,0,0,0,0,0,0,5039028,479074,0,0,354233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84714,0,0,0,0,-13759,0,0,2030867,193055,768154,768154,0,0,789955,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8726,11020,26961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2023 0:00:00,16,1/26/2024 10:11:10 PM,0,0,0,9783158,0,6868815,6868815,0,1217,0,0,257,1566176,188,836963,1217,0,0,0,0,0,0,0,1127,2500,0,0,0,70651,0,0,0,0,0,0,0,985,485,526,4302,0,0,0,0,0,0,0,0,0,0,0,0,0,6868815,91769,0,0,137924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72549,0,0,0,0,1370,0,0,0,0,0,0,0,0,2821204,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816,13723,15137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2023 0:00:00,17,1/30/2024 10:37:47 PM,3339514,123662,0,318439823,0,268159234,268159234,0,357496,111531,8328,17619,249140574,2611,78387694,668068,0,0,0,0,0,0,0,21455,25000,0,0,0,2980455,0,0,0,0,0,0,850,824,615,615,180927,43574,0,0,0,0,0,0,0,0,0,0,0,0,82657355,0,0,0,8052286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2599757,0,0,0,0,3382819,0,0,30575186,13016704,85458752,91861243,47453241,0,48359736,0,0,3580,0,0,0,0,0,0,0,0,0,258895,0,9041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826449,58153,1279894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12/31/2023 0:00:00,19,1/23/2024 10:08:50 PM,129682,1199,0,20849245,0,18640678,18640678,0,0,0,0,430,6512511,88,2452815,20603,0,0,0,0,0,0,0,1198,14437,0,0,0,23993,0,0,0,0,0,0,1000,1019,459,559,8157,740,0,0,0,0,2363,0,0,0,0,0,0,0,12894868,603146,0,0,566465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187975,0,0,0,0,136947,0,0,3396068,0,1339565,2347378,0,0,1468474,0,0,66,0,0,0,0,0,0,0,0,0,9974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14818,0,27400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2023 0:00:00,21,1/30/2024 10:14:02 PM,52625533,6154382,0,1304390365,0,1009609199,1051859199,0,5382299,1615716,297843,52825,1100408381,13368,390850973,14900006,0,0,0,0,0,0,0,130436,1052472,0,0,18154477,14099350,0,0,0,0,0,42500,990,1199,999,1049,8350991,2285469,0,0,0,0,0,0,0,0,0,0,0,0,219506984,0,0,0,49775719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9379489,0,0,0,0,34156820,121027351,42250000,225515892,29971328,240363996,319972695,195861694,0,113733545,0,0,21533,0,0,0,0,0,0,0,0,0,21930831,0,0,0,0,0,0,0,0,0,0,0,0,73462934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4841926,171286,32899258,0,0,0,0,0,8911075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,12/31/2023 0:00:00,29,1/30/2024 10:10:41 PM,1956544,406301,0,142656036,0,126383076,126383076,0,376593,256767,28425,6586,81848313,998,26263929,841202,0,0,0,0,0,0,0,14349,244000,0,0,0,560947,0,0,0,0,0,0,895,1124,418,559,154012,71097,0,0,0,0,172639,0,0,0,0,0,0,0,72229038,782449,0,0,4564279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295885,0,0,0,0,1538713,0,0,24919604,3966461,11473655,13012217,10289784,0,12671214,0,0,678,0,0,0,0,0,0,0,0,0,1007764,0,98999,0,0,0,0,0,0,0,0,0,0,152206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223375,158439,495569,0,0,0,0,0,12026081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
