"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,12/31/2023 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
6,12/31/2023 0:00:00,7,0,0,0,0,0,0,2017621,0,0,0,0,0,0,0,32365820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20038,0,0,4925896,39388920,0,0,0,0,59545,14,2,1,4,0,0,1,2,2,0,3,2,5,6,0,0,0,11,16,208,191,0,0,0,0,0,0,649
12,12/31/2023 0:00:00,11,0,0,0,0,0,0,2879181,0,0,0,0,0,0,0,429112,0,0,0,0,0,0,0,0,0,74520,0,0,0,0,29920,0,0,0,3380485,0,0,0,0,42272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,76,0,0,0,0,0,0,32
13,12/31/2023 0:00:00,12,0,0,0,0,0,0,47452320,0,0,0,0,0,0,0,32342996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28626251,108686509,0,0,0,0,264942,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,1645,1296,0,0,0,0,0,0,1040
16,12/31/2023 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,0,0,476758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0
19,12/31/2023 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
22,12/31/2023 0:00:00,17,0,0,0,0,0,0,64167779,0,0,0,0,0,0,0,43171909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541794,0,0,47722,107968195,0,0,0,0,38991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2449,0,0,0,0,0,0,145
26,12/31/2023 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,59
28,12/31/2023 0:00:00,21,0,0,0,0,0,0,62035236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12268938,0,0,0,0,10009836,0,0,514262,132176808,0,0,0,0,59617474,334,7,1,8,0,0,0,0,144,7,172,7,147,153,0,8,0,195,341,2258,3358,15,0,0,0,0,0,2848
42,12/31/2023 0:00:00,29,0,0,0,0,0,0,11104473,0,0,0,0,0,0,0,13158431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25115553,0,0,0,0,852649,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,188,646,7,0,0,0,0,0,91
47,12/31/2023 0:00:00,30,0,0,0,0,0,0,2800051,0,0,0,0,0,0,0,2450417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242533,0,0,0,5493001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,90,0,0,0,0,0,0,135
