"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
1,12/31/2023 0:00:00,2,0,0,68291,0,1,0,28697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30859,0,0,0,30859,0,0,0,0,0,9755871,0,0,0,0,0,0,0,0,03/01/2023,0,11048388,0,0,0,0,0,0,0,0,0,0,0,52796,0,0,0,0,0,0,0,0,0,0
6,12/31/2023 0:00:00,7,0,0,5000216,0,1,0,2794734,0,0,0,0,0,0,0,0,0,0,0,0,5391952,16934331,9750836,3102988,0,35180107,0,0,0,0,0,0,0,-2762245,0,1621114,0,0,64645,1685759,0,0,0,0,64645,246577588,0,0,0,0,0,0,0,0,01/01/2023,0,266912068,0,0,0,0,0,0,0,0,0,0,0,1992693,0,0,0,0,0,191,4472620,0,0,0
12,12/31/2023 0:00:00,11,0,257841,523385,93332,1,0,874146,0,0,321350,0,0,321350,0,0,0,0,0,0,0,0,0,0,0,0,1249848,4417718,731735,0,0,6399301,0,0,0,475555,0,0,0,475555,0,0,0,0,0,55059182,0,0,0,0,0,0,0,0,04/01/2023,0,59579901,0,0,0,0,0,0,0,0,0,0,0,1078633,0,0,0,0,0,0,0,0,0,0
13,12/31/2023 0:00:00,12,0,69898955,3439787,3315192,1,0,3216236,0,0,0,0,0,0,0,0,0,0,0,0,0,315233,54606,0,0,369839,0,0,0,0,0,0,0,-19403,0,1481421,0,0,0,1481421,0,0,0,0,0,938378187,0,0,0,0,0,0,0,0,01/01/2023,2278236,1022921861,0,0,0,0,0,0,0,0,0,0,0,6237655,0,0,0,0,0,0,0,0,0,0
16,12/31/2023 0:00:00,14,0,0,132776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8024277,0,0,0,0,0,0,0,0,,0,9293306,0,0,0,0,0,0,0,0,0,0,0,31767,0,0,0,0,0,0,0,0,0,0
19,12/31/2023 0:00:00,16,0,0,30,0,1,0,32698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4322000,3253000,0,0,0,7575000,0,0,0,0,0,0,0,0,0,0,0,0,0,6870185,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,9783158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2023 0:00:00,17,0,20172762,513627,454818,1,0,1586218,2259451,0,0,0,0,2259451,0,0,0,0,0,0,2525008,1338993,6023264,2668590,0,12555855,0,0,0,0,0,0,0,-1866420,0,0,0,0,0,0,0,0,0,0,0,271953886,0,0,0,0,0,0,0,0,12/01/2023,564939,319004762,0,0,0,0,0,0,0,0,0,0,0,1625398,0,211628,0,0,0,0,0,0,0,0
26,12/31/2023 0:00:00,19,0,0,321133,0,1,0,69917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8947,0,0,0,8947,0,0,0,0,0,18777625,0,0,0,0,0,0,0,0,01/01/2023,53172,20884870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2023 0:00:00,21,0,14928199,6962179,0,1,0,10886405,0,0,0,0,0,0,0,0,0,0,0,0,0,763062,14340353,44166508,2816525,62086448,0,0,0,0,0,0,0,-14107519,0,6250779,0,0,0,6250779,0,0,0,0,0,1207101613,6,89997,5185,0,0,0,5,55432,07/01/2023,5646897,1310037262,0,0,0,0,0,0,0,0,0,0,0,8131217,0,0,0,0,0,1,1730369,0,0,0
42,12/31/2023 0:00:00,29,0,0,1817453,0,1,0,593613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800000,4800000,2400000,0,0,9000000,0,0,0,70529,0,0,0,70529,0,0,0,0,0,127928764,0,0,0,0,0,0,0,0,10/01/2023,100174,142756210,0,0,0,0,0,0,0,0,0,0,0,405468,0,0,0,0,0,0,0,0,0,0
