"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_RB0026","ACCT_RB0027","ACCT_RB0028","ACCT_RB0029","ACCT_RB0030","ACCT_RB0031","ACCT_RB0032","ACCT_RB0033","ACCT_RB0034","ACCT_RB0035","ACCT_RB0036","ACCT_RB0037","ACCT_RB0038","ACCT_RB0039","ACCT_RB0040","ACCT_RB0041","ACCT_RB0042","ACCT_RB0043","ACCT_RB0044","ACCT_RB0045","ACCT_RB0046","ACCT_RB0047","ACCT_RB0048","ACCT_RB0049","ACCT_RB0050","ACCT_RB0051","ACCT_RB0052","ACCT_RB0053","ACCT_RB0054","ACCT_RB0055","ACCT_RB0056","ACCT_RB0057","ACCT_RB0058","ACCT_RB0059","ACCT_RB0060","ACCT_RB0061","ACCT_RB0062","ACCT_RB0063","ACCT_RB0064","ACCT_RB0065","ACCT_RB0066","ACCT_RB0067","ACCT_RB0068","ACCT_RB0069","ACCT_RB0070","ACCT_RB0071","ACCT_RB0072","ACCT_RB0073","ACCT_RB0074","ACCT_RB0075","ACCT_RB0076","ACCT_RB0077","ACCT_RB0078","ACCT_RB0079","ACCT_RB0080","ACCT_RB0081","ACCT_RB0082","ACCT_RB0083","ACCT_RB0084","ACCT_RB0085","ACCT_RB0086","ACCT_RB0087","ACCT_RB0088","ACCT_RB0089","ACCT_RB0090","ACCT_RB0091","ACCT_RB0092","ACCT_RB0093","ACCT_RB0094","ACCT_RB0095","ACCT_RB0096","ACCT_RB0097","ACCT_RB0098","ACCT_RB0099","ACCT_RB0100","ACCT_RB0101","ACCT_RB0102","ACCT_RB0103","ACCT_RB0104","ACCT_RB0105","ACCT_RB0106","ACCT_RB0107","ACCT_RB0108","ACCT_RB0109","ACCT_RB0110","ACCT_RB0111","ACCT_RB0112","ACCT_RB0113","ACCT_RB0114","ACCT_RB0115","ACCT_RB0116","ACCT_RB0117","ACCT_RB0118","ACCT_RB0119","ACCT_RB0120","ACCT_RB0121","ACCT_RB0122","ACCT_RB0123","ACCT_RB0124","ACCT_RB0125","ACCT_RB0126","ACCT_RB0127","ACCT_RB0128","ACCT_RB0129","ACCT_RB0130","ACCT_RB0131","ACCT_RB0132","ACCT_RB0133","ACCT_RB0134","ACCT_RB0135","ACCT_RB0136","ACCT_RB0137","ACCT_RB0138","ACCT_RB0139","ACCT_RB0140","ACCT_RB0141","ACCT_RB0142","ACCT_RB0143","ACCT_RB0144","ACCT_RB0145","ACCT_RB0146","ACCT_RB0147","ACCT_RB0148","ACCT_RB0149","ACCT_RB0150","ACCT_RB0151","ACCT_RB0152","ACCT_RB0153","ACCT_RB0154","ACCT_RB0155","ACCT_RB0156","ACCT_RB0157","ACCT_RB0158","ACCT_RB0159","ACCT_RB0160","ACCT_RB0161","ACCT_RB0162","ACCT_RB0163","ACCT_RB0164","ACCT_RB0165","ACCT_RB0166","ACCT_RB0167","ACCT_RB0168","ACCT_RB0169","ACCT_RB0170","ACCT_RB0171","ACCT_RB0172","ACCT_RB0177","ACCT_RL0001","ACCT_RL0002","ACCT_RL0003","ACCT_RL0004","ACCT_RL0005","ACCT_RL0006","ACCT_RL0007","ACCT_RL0008","ACCT_RL0009","ACCT_RL0010","ACCT_RL0011","ACCT_RL0012","ACCT_RL0013","ACCT_RL0014","ACCT_RL0015","ACCT_RL0016","ACCT_RL0017","ACCT_RL0018","ACCT_RL0019","ACCT_RL0020","ACCT_RL0021","ACCT_RL0022","ACCT_RL0023","ACCT_RL0024","ACCT_RL0025","ACCT_RL0026","ACCT_RL0027","ACCT_RL0028","ACCT_RL0029","ACCT_RL0030","ACCT_RL0031","ACCT_RL0032","ACCT_RL0033","ACCT_RL0034","ACCT_RL0035","ACCT_RL0036","ACCT_RL0037","ACCT_RL0038","ACCT_RL0039","ACCT_RL0040","ACCT_RL0041","ACCT_RL0042","ACCT_RL0043","ACCT_RL0044","ACCT_RL0045","ACCT_RL0046","ACCT_RL0047","ACCT_RL0048","ACCT_RL0050","ACCT_SH0013","ACCT_SH0018","ACCT_SH0880","ACCT_SL0018","ACCT_SL0019","ACCT_SL0020","ACCT_SL0021","ACCT_SL0022","ACCT_SL0023","ACCT_SL0024","ACCT_SL0026","ACCT_SL0028","ACCT_SL0029","ACCT_SL0030","ACCT_SL0032","ACCT_SL0033","ACCT_SL0034","ACCT_SL0035","ACCT_LR0001","ACCT_LR0002","ACCT_LR0003","ACCT_LR0004","ACCT_LR0005","ACCT_LR0006","ACCT_LR0007","ACCT_LR0008","ACCT_LQ0060","ACCT_LQ0061","ACCT_LQ0062","ACCT_NW0004"
1,12/31/2023 0:00:00,2,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9325595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28697,28697,9296898,0,-28697,-28697,0,0,0,0,0,156656,0,108220,108220,0,0,0,0,0,0,0,11048388,79523,79523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11048388,0,0,28697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9751785,9751785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2023 0:00:00,7,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,35574653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160772483,0,0,0,0,0,0,0,1582674,0,0,0,0,0,0,0,0,2794734,2794734,192936501,0,-2794734,-2794734,0,0,0,0,0,16262228,0,2060044,2060044,0,0,0,0,0,0,0,266912068,-734690,-734690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266912068,0,0,2794734,95,15954263,2531200,91,5975589,762275,7,879252,263700,16,1000428,477905,0,0,0,23809532,4035080,93,4304367,1405044,0,0,0,0,0,0,98,5262179,2369000,9566546,3774044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,33376078,7809124,7335802,201429564,234166564,32737000,171,3622319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2023 0:00:00,11,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,6930851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20401936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874146,874146,26990995,0,-874146,-874146,0,0,0,0,0,9722156,0,555439,555439,0,0,0,0,0,0,0,59579900,-318707,-318707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59579900,0,0,874146,7,721588,0,66,3500490,668363,0,0,0,0,0,0,0,0,0,4222078,668363,72,3207621,1949072,0,0,0,0,0,0,6,33506,0,3241127,1949072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,7463205,2617435,0,52344394,52344394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2023 0:00:00,12,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,4841812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617957997,0,0,0,0,0,0,0,1110772,0,0,0,0,0,0,0,0,3216236,3216236,909087367,0,-3216236,-3216236,0,0,0,0,0,30434255,0,7623047,7623047,0,0,0,0,0,0,0,1021395443,4406811,4406811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021395443,0,0,3216236,208,40799957,1645592,768,78631616,39423942,0,0,0,291,92679706,68331925,378,19795502,7677701,231906781,117079160,0,0,0,0,0,0,0,0,0,1296,61328053,32405142,61328053,32405142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2941,293234834,149484302,184870097,798592230,885675439,87083209,3,1110772,0,0,2,429754,2,0,2,429754,327,0,0,0,0,1,106327626,1041,0,0,0,0,0,215000000,0,0,1526418
16,12/31/2023 0:00:00,14,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,40342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2786568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49702,49702,3907852,0,-49702,-49702,0,0,0,0,0,133605,0,84714,84714,0,0,0,0,0,0,0,9293306,35012,35012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9293306,0,0,49702,0,0,0,1,72616,0,9,689899,0,0,0,0,0,0,0,762515,0,6,261060,211573,7,147409,0,0,0,0,0,0,0,408469,211573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1170984,211573,0,8031104,8031104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2023 0:00:00,16,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,7577857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32698,32698,1533478,0,-32698,-32698,0,0,0,0,0,104225,0,72549,72549,0,0,0,0,0,0,0,9783158,39851,39851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9783158,0,0,32698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6868815,6868815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2023 0:00:00,17,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,20971606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111141576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586218,1586218,247554356,0,-1586218,-1586218,0,0,0,0,0,8227429,0,2599757,2599757,0,0,0,0,0,0,0,318439823,1013539,1013539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318439823,0,0,1586218,26,6129079,898815,38,5500998,0,0,0,0,0,0,0,5,736583,0,12366660,898815,1072,80844515,18398500,0,0,0,0,0,0,1377,44787823,18120162,125632338,36518662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518,137998998,37417477,62411790,268159233,268159233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5277220,0,564939
26,12/31/2023 0:00:00,19,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,111464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5181097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69917,69917,6442594,0,-69917,-69917,0,0,0,0,0,361074,0,187975,187975,0,0,0,0,0,0,0,20849245,118058,118058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20849245,0,0,69917,0,0,0,23,1331414,401034,0,0,0,0,0,0,0,0,0,1331414,401034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1331414,401034,0,18640677,18640677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35625
28,12/31/2023 0:00:00,21,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,79113707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526914468,0,0,0,0,0,0,0,85305493,0,0,0,0,0,0,-892500,0,10886405,10886405,1090414476,-892500,-10886405,-10886405,0,0,0,0,0,112210697,0,9379489,9379489,0,0,0,0,0,0,0,1304390365,-1506916,-1506916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304390365,0,0,10886405,1016,182984996,44570911,879,71132899,1333750,10,854762,0,0,0,0,334,91584098,5608548,346556755,51513209,1195,49633225,15409048,0,0,0,0,0,0,2163,91998438,66098609,141631663,81507657,6,182513,21672,10,159777,121196,0,0,0,0,0,0,342290,142868,5613,488530708,133163734,142433399,1009609199,1051859199,42250000,7,11184725,0,0,117,26505956,117,0,117,26505956,2780,0,0,844,9143491,1,75222384,576,0,0,0,0,0,0,77062758,0,5646897
42,12/31/2023 0:00:00,29,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,9066000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33438062,0,0,0,0,0,0,0,152206,0,0,0,0,0,0,0,0,593613,593613,81254700,0,-593613,-593613,0,0,0,0,0,4536113,0,1295885,1295885,0,0,0,0,0,0,0,142656036,702272,702272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142656036,0,0,593613,66,11029542,757813,121,11439455,0,0,0,0,0,0,0,1,115146,0,22584143,757813,226,12018054,4103305,49,1629767,0,0,0,0,371,12026081,6071619,25673902,10174924,7,294545,0,0,0,0,0,0,0,0,0,0,294545,0,841,48552590,10932737,0,126383076,126383076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100174
