"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_PG0001","ACCT_PG0002","ACCT_PP0037","ACCT_PP0038","ACCT_PP0039","ACCT_PP0040","ACCT_PP0041","ACCT_PP0042","ACCT_PP0043","ACCT_PP0044","ACCT_PP0045","ACCT_PP0046","ACCT_PP0047","ACCT_PP0048","ACCT_PP0049","ACCT_PP0050","ACCT_PP0051","ACCT_PP0052","ACCT_PP0053","ACCT_PP0054","ACCT_PP0055","ACCT_PP0056","ACCT_PP0057","ACCT_PR0001","ACCT_PR0002","ACCT_PR0003","ACCT_PR0004","ACCT_PS0001","ACCT_PS0002","ACCT_PS0003","ACCT_PS0004","ACCT_PS0005","ACCT_PS0006","ACCT_PS0007","ACCT_PS0007A"
1,12/31/2023 0:00:00,2,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
6,12/31/2023 0:00:00,7,"5493006GFSNOUCCL1W91","Combination","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 16 2023  6:00AM","0","1","0","0","0","0","0",""
12,12/31/2023 0:00:00,11,"254900TYE85Q9OTQ5038","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Dec 31 2023  5:00AM","1","1","0","0","0","0","0",""
13,12/31/2023 0:00:00,12,"549300U18MOAH5F95P15","Automated","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 27 2023  6:00AM","1","0","0","0","0","0","0",""
16,12/31/2023 0:00:00,14,"","Manual","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
19,12/31/2023 0:00:00,16,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
22,12/31/2023 0:00:00,17,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","1","0","0","0","0","0","0",""
26,12/31/2023 0:00:00,19,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","1","0","0","0","0","0",""
28,12/31/2023 0:00:00,21,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","1","0","0","0","0","0","0",""
42,12/31/2023 0:00:00,29,"2549001jpw8twjymne74","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","0","0","0","0","0","0","0",""
47,12/31/2023 0:00:00,30,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","0","0","1","0","0","0","0",""
48,12/31/2023 0:00:00,31,"","Combination","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","","","","0","1","0","0","0","0","0",""
51,12/31/2023 0:00:00,32,"5493008RNHC5I1E3IZ56","Automated","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 21 2023  5:00AM","1","1","1","0","0","1","0",""
53,12/31/2023 0:00:00,33,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","0","1","0","0","0","0","0",""
60,12/31/2023 0:00:00,35,"549300REHZOIYMHDP161","Combination","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  3 2023  6:00AM","1","1","0","0","0","0","0",""
77,12/31/2023 0:00:00,41,"549300VTMXH07KUIB722","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 13 2023  6:00AM","1","0","0","0","0","0","0",""
79,12/31/2023 0:00:00,43,"54930027GUR70U427Y19","Combination","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 24 2023  6:00AM","1","0","0","0","0","0","0",""
82,12/31/2023 0:00:00,46,"5493oogmxzwxnos1us34","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 26 2024  5:00AM","1","0","0","0","0","0","0",""
90,12/31/2023 0:00:00,49,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
98,12/31/2023 0:00:00,54,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
107,12/31/2023 0:00:00,57,"","Combination","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","0","1","0","0","0","0","0",""
108,12/31/2023 0:00:00,58,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
110,12/31/2023 0:00:00,59,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
119,12/31/2023 0:00:00,62,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","1","1","0","0","0","0","0",""
120,12/31/2023 0:00:00,63,"","Combination","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
132,12/31/2023 0:00:00,69,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
135,12/31/2023 0:00:00,70,"","Manual","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2024  6:00AM","0","0","0","0","0","0","0",""
138,12/31/2023 0:00:00,72,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
146,12/31/2023 0:00:00,74,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
147,12/31/2023 0:00:00,75,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
150,12/31/2023 0:00:00,77,"549300AN5V81GRYDJ823","Combination","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2023  5:00AM","1","0","1","0","0","0","0",""
151,12/31/2023 0:00:00,78,"549300AOB4S7B0DB7863","Combination","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 13 2023  5:00AM","1","0","0","0","0","0","0",""
153,12/31/2023 0:00:00,80,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
159,12/31/2023 0:00:00,83,"549300ZBBGOL4MIK0L71","Combination","1","1","1","1","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 22 2023  5:00AM","1","0","0","0","0","0","0",""
162,12/31/2023 0:00:00,85,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","1","0","1","0","0","0","0",""
167,12/31/2023 0:00:00,87,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
168,12/31/2023 0:00:00,88,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
169,12/31/2023 0:00:00,89,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0",""
174,12/31/2023 0:00:00,91,"549300ITOKVFTRH0EQ29","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2023  6:00AM","0","1","0","0","0","0","0",""
176,12/31/2023 0:00:00,92,"549300GL556PQ7WG0G08","Combination","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Sep 22 2023  4:00AM","1","1","0","0","0","0","0",""
187,12/31/2023 0:00:00,100,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
195,12/31/2023 0:00:00,104,"","Automated","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","1","0","0","0",""
196,12/31/2023 0:00:00,105,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","1","0","0","0","0","0",""
198,12/31/2023 0:00:00,107,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
199,12/31/2023 0:00:00,108,"254900PZMV3V09E3HO","Combination","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Jan 19 2024  6:00AM","1","0","0","1","0","0","0",""
200,12/31/2023 0:00:00,109,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
205,12/31/2023 0:00:00,112,"549300PYZVSM1PP3GI62","Combination","1","1","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 27 2023  5:00AM","1","1","0","0","0","0","0",""
216,12/31/2023 0:00:00,116,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","1","0","0","0","0","0","0",""
220,12/31/2023 0:00:00,117,"","Manual","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","0","0",""
